label,longitude,latitude,活蚊子数,死蚊子数,产卵数,幼虫数
1,121.446311425,31.034348061,0,0,0,0
2,121.444657265,31.03401917,0,0,0,0
3,121.445179618,31.034205915,0,0,0,0
4,121.447373205,31.035079105,0,0,0,0
5,121.446662945,31.034069221,0,0,0,0
6,121.44579996,31.034389208,1,0,21,0
7,121.445747188,31.034571954,0,0,0,0
8,121.445157414,31.033751604,0,0,0,0
9,121.447446022,31.034166892,0,0,0,0
10,121.448849646,31.034715298,1,0,32,0
11,121.446350962,31.035185205,0,0,0,0
12,121.446781442,31.034706498,0,1,0,0
13,121.445156402,31.034617572,1,0,33,0
14,121.449219744,31.033151042,0,0,0,0
15,121.447709627,31.034719417,0,0,0,0
16,121.446348485,31.034521819,0,0,0,0
17,121.44690141,31.035145293,0,0,0,0
18,121.444683,31.033669599,0,1,13,0
19,121.447199283,31.034596523,0,1,8,0
20,121.447994464,31.035218586,0,0,0,0
21,121.445269226,31.035030982,0,0,0,0
22,121.445191596,31.035509132,0,0,0,0
23,121.44577677,31.035688375,0,0,0,0
24,121.448899689,31.034280744,0,0,0,0
25,121.448979635,31.034989606,0,0,0,0
26,121.446351955,31.035586546,1,0,84,0
27,121.444778032,31.035478584,0,0,0,0
28,121.444063897,31.035507494,0,0,0,0
29,121.448623411,31.03327461,0,0,0,0
30,121.449368074,31.034621399,0,0,0,0
31,121.445879259,31.035037598,0,0,0,0
32,121.449378462,31.034267822,0,0,0,0
33,121.448413147,31.035083487,0,0,0,0
34,121.44950956,31.03380813,0,0,0,0
35,121.448731714,31.033838544,0,0,0,0
36,121.448219355,31.033414118,0,0,0,0
37,121.448000045,31.035489268,0,0,0,0
38,121.447442132,31.035510855,0,0,0,0
39,121.446926446,31.0356359,0,0,0,0
40,121.444773707,31.035178844,0,0,0,0
41,121.450545907,31.032512866,0,0,0,0
42,121.449432069,31.032073048,0,0,0,0
43,121.44940038,31.032813488,0,0,0,0
44,121.450066989,31.032721772,0,0,0,0
45,121.450467454,31.033770584,1,1,0,0
46,121.448946109,31.032044454,0,0,0,0
47,121.449936285,31.031968017,0,0,0,0
48,121.44879421,31.032860294,0,0,0,0
49,121.451008476,31.03203079,0,0,0,0
50,121.450184725,31.033279706,0,1,0,0
51,121.44997024,31.033714247,0,0,0,0
52,121.450306951,31.033001519,0,0,0,0
53,121.449849275,31.033471967,0,0,1,0
54,121.449397411,31.032456253,0,0,0,0
55,121.449295829,31.031593575,0,0,0,0
56,121.449951468,31.03247312,0,0,0,0
57,121.449560168,31.030936795,0,0,0,0
58,121.450124186,31.031678206,0,0,0,0
59,121.450611429,31.031885942,0,0,0,0
60,121.450931886,31.031707237,0,0,0,0
61,121.445068991,31.032060822,0,0,0,0
62,121.44786724,31.030601966,0,0,0,0
63,121.448069903,31.03091639,0,0,0,0
64,121.4446571,31.031988571,0,0,0,0
65,121.445783442,31.031134719,0,0,0,0
66,121.445094635,31.03142958,0,0,0,0
67,121.446302146,31.031877755,0,0,0,0
68,121.445798121,31.032035189,0,0,0,0
69,121.445828938,31.031580675,0,0,0,0
70,121.446764353,31.03153005,0,0,0,0
71,121.44717382,31.031872385,0,0,0,0
72,121.445183252,31.031044067,0,0,0,0
73,121.446761155,31.031112589,0,0,5,0
74,121.446744729,31.031796471,0,0,0,0
75,121.447404508,31.031560558,0,0,0,0
76,121.448858287,31.031183605,0,0,0,0
77,121.448633593,31.031418583,0,0,0,0
79,121.450545027,31.031649394,0,0,0,0
80,121.448440211,31.031014396,0,0,0,0
81,121.448362326,31.03233879,0,0,0,0
82,121.445298468,31.030437023,0,0,0,0
83,121.446239976,31.031043168,0,0,0,0
84,121.447410256,31.03089336,0,0,0,0
85,121.44651055,31.031290266,0,0,0,0
86,121.447868403,31.032008425,0,0,0,0
87,121.446690835,31.030473476,0,1,18,20
89,121.445837283,31.030552421,0,0,0,0
90,121.448375168,31.031994499,0,0,0,0
91,121.448824467,31.032283793,1,0,12,0
92,121.446241392,31.030725819,0,9,0,0
93,121.446502184,31.029572346,0,0,0,0
94,121.44738225,31.029978731,0,0,0,0
95,121.447416892,31.029732649,0,0,0,0
96,121.44789139,31.030295228,0,0,0,0
97,121.448580915,31.030750093,0,0,0,0
98,121.446278988,31.03000744,1,0,10,0
99,121.446769812,31.030230598,0,0,0,0
100,121.447265426,31.030517746,0,0,0,0
101,121.44786048,31.029245287,0,0,0,0
102,121.446774693,31.028406524,0,0,0,0
103,121.448313497,31.029352823,0,0,0,0
104,121.445775812,31.029815122,0,0,0,0
105,121.446948547,31.02963589,0,0,0,0
106,121.446462222,31.028234541,0,0,0,0
107,121.446920249,31.029252823,0,0,0,0
108,121.447863731,31.029804526,0,0,0,0
109,121.44721938,31.028521361,0,0,0,0
110,121.447540744,31.029072176,0,0,0,0
111,121.449579571,31.02787212,0,0,0,0
112,121.445802909,31.029078769,0,0,0,0
113,121.447514429,31.02862099,0,0,0,0
114,121.44790962,31.02867531,0,0,30,15
115,121.446440773,31.02907522,0,0,0,0
116,121.446509058,31.027193153,0,0,0,0
117,121.445957926,31.02866727,0,0,0,0
118,121.446303381,31.027889319,0,0,0,0
119,121.446407973,31.028884585,1,0,41,0
120,121.448822319,31.028822576,0,0,0,0
121,121.448508731,31.02881367,0,0,0,0
122,121.447558518,31.027871195,0,0,0,0
123,121.44673263,31.027945532,0,0,0,0
124,121.44871381,31.028282675,1,0,0,0
125,121.449436817,31.027240946,0,0,0,0
126,121.449527361,31.028278824,0,0,0,0
127,121.447452532,31.028303331,0,0,0,0
128,121.447975903,31.028434087,0,0,0,0
129,121.446807159,31.026472325,0,0,0,0
130,121.4494684,31.027527269,0,0,0,0
131,121.447872384,31.027930076,0,0,0,0
132,121.448620984,31.028346743,0,0,0,0
133,121.447451702,31.026738933,0,0,0,0
134,121.446855215,31.02740624,0,0,0,0
135,121.449095412,31.027987388,0,0,0,0
136,121.451563603,31.030688943,0,0,0,0
137,121.449457998,31.030598758,0,0,0,0
138,121.447102842,31.026597948,0,0,0,0
139,121.447441185,31.027407131,0,0,0,0
140,121.448509411,31.028134396,1,0,11,0
141,121.450474995,31.030734337,0,1,0,0
142,121.448821469,31.030818428,0,0,0,0
143,121.451073036,31.029892009,0,0,0,0
144,121.45057501,31.029712955,0,0,0,0
145,121.450470092,31.030154973,0,0,0,0
146,121.449523196,31.029660162,0,0,0,0
147,121.450927201,31.030308968,0,0,0,0
148,121.450125845,31.029785719,0,0,0,0
149,121.449855445,31.030965575,0,0,0,0
150,121.451116013,31.030658723,0,0,0,0
151,121.450360356,31.031128936,0,0,0,0
152,121.449939293,31.030483032,0,0,0,0
153,121.450966197,31.031040813,0,0,0,0
154,121.449548502,31.030066649,0,0,0,0
155,121.450043271,31.030122079,0,0,0,0
156,121.450142153,31.027227733,0,0,0,0
157,121.450866192,31.027921528,0,0,0,0
158,121.450087244,31.027849095,0,0,0,0
159,121.44953057,31.028960991,0,0,0,0
160,121.450078319,31.028549802,0,0,0,0
161,121.450672476,31.027947318,1,0,0,0
162,121.450325645,31.02715762,0,0,0,0
163,121.451525187,31.030294772,0,0,0,0
164,121.45047631,31.029019057,0,0,0,0
165,121.451124245,31.027410631,0,0,0,0
166,121.451466025,31.028790199,0,0,0,0
167,121.450072872,31.029358863,1,0,0,0
168,121.451355037,31.029821279,0,0,0,0
169,121.450951979,31.029318244,0,0,0,0
170,121.450522431,31.029311062,0,0,0,0
171,121.44987655,31.028918588,0,0,0,0
172,121.450612522,31.027452046,0,0,0,0
173,121.449471713,31.0292385,0,0,0,0
174,121.451404218,31.029398209,0,0,0,0
175,121.45140839,31.027889998,0,0,0,0
176,121.450529318,31.028371509,0,0,0,0
177,121.450885763,31.028497078,0,0,0,0
178,121.450919504,31.028753455,0,1,0,0
179,121.45139547,31.028486907,0,0,0,0
180,121.451649195,31.027552982,0,0,0,0
181,121.45048668,31.035686363,0,0,0,0
182,121.45107679,31.035148495,0,0,0,0
183,121.449429302,31.035209565,1,0,25,0
184,121.447440227,31.036431897,0,0,0,0
185,121.44623224,31.03631388,0,0,0,0
186,121.446779141,31.036266733,0,0,0,0
187,121.450599435,31.035057745,0,0,0,0
188,121.449880592,31.035770295,0,0,0,0
189,121.448943566,31.036500096,0,0,0,0
190,121.449412569,31.036242516,0,0,0,0
191,121.449332415,31.035681544,0,0,0,0
192,121.450014945,31.035920667,0,0,0,0
193,121.448948325,31.035603339,0,0,0,0
194,121.448342781,31.035837971,0,0,0,0
195,121.449028221,31.036117288,0,0,1,0
196,121.447790013,31.036033482,0,0,0,0
197,121.44797255,31.036404947,0,0,0,0
198,121.448502464,31.036332476,0,0,0,0
199,121.449725571,31.035344587,0,0,0,0
200,121.449965626,31.034871291,0,0,0,0
201,121.45105412,31.034750998,0,0,0,0
202,121.450415217,31.034066962,1,0,0,0
203,121.452533002,31.036713301,0,0,0,0
204,121.449376799,31.036464599,1,1,0,0
205,121.452606993,31.035742932,0,0,0,0
206,121.452629382,31.036292147,0,1,11,0
207,121.450537463,31.036832217,0,0,0,0
208,121.451029461,31.036984549,0,0,0,0
209,121.449614272,31.036698523,1,1,0,0
210,121.450093136,31.036801011,0,0,0,0
211,121.450921019,31.034160391,0,0,0,0
212,121.452499213,31.03427444,0,3,0,0
213,121.450431458,31.036669702,0,0,0,0
214,121.452040491,31.0341665,0,1,0,0
215,121.452263444,31.035379205,0,0,2,0
216,121.45129376,31.037015505,0,1,5,0
217,121.451657827,31.034093183,0,0,0,0
218,121.452421235,31.037040215,0,0,69,0
219,121.451491779,31.035081288,0,0,0,0
220,121.451986173,31.035206197,0,0,0,0
221,121.442413769,31.036511452,0,0,0,0
222,121.442135525,31.036489977,1,0,5,0
223,121.442088018,31.036805596,0,0,0,0
224,121.442704623,31.03690057,0,0,0,0
225,121.443067236,31.036784484,0,1,11,21
226,121.443131275,31.03649444,0,0,0,0
227,121.443054214,31.036132657,0,0,40,0
228,121.442498075,31.036116832,0,0,0,0
229,121.443693088,31.036886101,0,0,0,0
230,121.443726479,31.037188329,0,0,0,0
231,121.444238732,31.037328598,0,1,0,0
232,121.443975264,31.036835202,1,0,0,0
233,121.444490662,31.037482358,0,0,0,0
234,121.443613805,31.036482274,0,0,0,0
235,121.443748328,31.036251209,0,0,0,0
236,121.444113021,31.036323342,0,0,46,0
238,121.444542308,31.036341872,0,0,0,0
240,121.444486896,31.036774343,1,0,0,0
241,121.444780413,31.037659339,1,0,0,0
242,121.445128185,31.037831771,0,0,0,0
243,121.445254834,31.037206582,0,0,0,0
244,121.445077958,31.036952989,0,1,0,0
245,121.445090121,31.036422334,0,1,13,0
246,121.4457317,31.036770975,0,0,0,0
247,121.445626411,31.037341103,0,0,23,15
248,121.446319275,31.037410673,1,1,5,0
249,121.446337173,31.036878892,4,1,173,80
250,121.446794003,31.036933361,0,1,96,0
251,121.446641816,31.037305238,2,2,0,43
252,121.44716625,31.037246818,0,0,0,0
253,121.447339365,31.036839135,2,1,147,10
254,121.447937707,31.036841086,0,1,38,20
255,121.44825833,31.03691855,0,0,0,0
256,121.447749216,31.037330697,0,0,0,0
257,121.44836836,31.037339548,0,2,95,52
258,121.448758539,31.037371501,0,0,0,0
259,121.448906604,31.037060254,1,3,148,33
260,121.448650638,31.037987947,0,0,0,0
261,121.448260773,31.037708218,0,2,3,0
262,121.447860723,31.037702816,0,0,0,0
263,121.449304988,31.037820463,0,0,0,0
264,121.449994104,31.037741032,1,0,39,0
265,121.450405527,31.037735681,0,0,0,0
266,121.450749459,31.03727217,1,0,0,0
267,121.450351003,31.037331123,0,0,0,0
268,121.449854846,31.037410038,0,0,0,0
269,121.449374181,31.037511223,0,0,62,15
270,121.448296078,31.038777979,0,0,10,10
271,121.448172164,31.038247995,0,1,0,0
272,121.447800901,31.038314858,0,0,0,0
273,121.447681518,31.038583343,1,2,0,0
274,121.447328916,31.038173284,1,0,0,0
275,121.447303946,31.037844621,1,3,102,0
276,121.446629794,31.037863512,0,0,0,0
277,121.446624381,31.038089965,1,0,27,2
278,121.446372098,31.037808791,0,0,0,0
279,121.446340531,31.038124607,0,0,10,0
280,121.445833148,31.037774588,1,3,80,20
281,121.448241524,31.03463122,0,0,0,0
282,121.445842324,31.033426307,0,0,0,0
283,121.446702569,31.032391404,0,0,0,0
284,121.447710011,31.033478432,1,0,0,0
285,121.446311621,31.032356677,0,0,0,0
286,121.445229745,31.033250725,0,0,0,0
287,121.444779232,31.033372619,0,0,0,0
288,121.446431549,31.033738016,0,0,12,0
289,121.446311742,31.033432418,0,0,0,0
290,121.447299159,31.033405207,0,0,0,0
291,121.447923565,31.033826876,0,0,0,0
292,121.445398396,31.032798753,0,0,0,0
293,121.44584301,31.033877298,0,0,29,0
294,121.447920308,31.03418049,0,0,0,0
295,121.446346364,31.032820309,0,0,0,0
296,121.448470463,31.03429374,0,0,19,0
297,121.448325844,31.033820878,3,0,19,0
298,121.445902887,31.032799094,0,0,0,0
299,121.445834924,31.03239315,0,0,0,0
300,121.445485536,31.032401703,0,0,0,0
301,121.451820142,31.037076872,0,0,0,0
321,121.446714476,31.026832805,0,0,0,0